year,oshpd_id2,oshpd_id,FACILITY_NAME,COUNTY_NAME,Control_Type_Desc,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,LICENSED_BED_SIZE,TRAUMA_CENTER_DESC,CONGRESS_DIST,ASSEMBLY_DIST,SENATE_DIST,MSSA_NAME,MSSA_DESIGNATION,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,ER_SERVICE_LEVEL_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Hospice_Care,Rehab,Disaster_Care_Site,Prison_Jail,Psychiatric_Care,Residential_Care,Routine,SN_IC_Care,Childrens_or_Cancer,CAH,Not_Defined_Elsewhere,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Rehab,a_Disaster_Care_Site,a_Residential_Care,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer,a_CAH,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear,LICENSED_BED_TOTAL,EMS_STATION,Invalid_Blank_Disp,Other_Disp,a_Invalid_Blank_Disp,a_Other_Disp
2015,106010735,10735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,General Acute Care Hospital,2070 CLINTON,ALAMEDA,94501,Beds 200-299,,13,18,9,Alameda/Jack London Square/Oakland Inner Harbor,Urban,N/A,N/A,Emergency - Basic,8722,6889,,774,1174,2774,2772,2312,2259,1659,884,943,60,,1562,3206,1268,14,3314,250,5997,280,426,28,,,,,166,202,,14342,165,,1,,760,2926,5456,4069,2400,,15611,685,14351,575,1032,875,,5,59,118,160,244,398,306,616,1,,,316,249,145,225,20,950,2,89,52,41,235,8,,40,806,603,,30,3,,,,409,1174,3,275,46,,1907,217,1633,57,2015,281,12,1,,,
2015,106010739,10739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,2450 ASHBY STREET,BERKELEY,94705,Beds 300-499,,13,15,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,N/A,N/A,Emergency - Basic,23230,17196,4,682,2205,8769,6910,5524,5924,4778,2828,2606,204,,3440,13624,5553,76,2231,447,15059,248,337,35,120,20,7,,86,1334,7,37587,235,5,34,104,14558,9123,739,12537,3412,61,40430,1131,37704,1595,3155,2735,,46,453,506,554,884,1158,966,1314,9,,,581,1969,583,197,30,2521,9,193,124,216,893,194,,10,3050,1000,,148,47,,3,8,1419,2666,52,1630,123,,5890,243,5447,200,2015,347,22,228,43,4,
2015,106010776,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,747 52ND STREET,OAKLAND,94609,Beds 150-199,Level I - Pediatric,13,15,9,Oakland West Central,Urban,N/A,N/A,Emergency - Basic,18362,21248,,23968,9563,315,69,57,28,15,6,,5589,,2756,10033,18049,28,5227,183,3334,235,44,5,30,,1,,8,,,39018,6,4,,,30876,24,533,5579,2596,2,39610,1385,27828,10397,3000,3929,,1890,77,,,,,,,1363,3599,,568,1298,2675,1184,35,1162,7,,3,,2,,,,6837,20,,,,59,,,3580,12,1325,1738,274,,6929,239,5231,1459,2015,190,37,40,219,8,
2015,106010846,10846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,General Acute Care Hospital,1411 EAST 31ST STREET,OAKLAND,94602,Beds 200-299,Level II,13,18,9,Oakland West Central,Urban,N/A,Teaching,Emergency - Basic,30651,35104,2,861,2810,13871,13787,12082,12712,7118,1611,716,189,,5762,28234,21463,261,1793,400,7844,110,570,155,3,14,4,,1158,26,95,63263,139,6,,153,41892,6148,1059,2021,14128,509,65757,4786,47250,13721,3295,4642,,175,872,1030,1341,1726,1599,625,568,1,,,1034,3270,2035,151,36,1357,54,218,382,211,289,209,,154,5356,856,61,88,37,,,68,4816,2072,67,616,366,,7937,794,5819,1324,2015,286,52,3,58,,8
2015,106010937,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,350 HAWTHORNE AVENUE,OAKLAND,94609,Beds 300-499,,13,18,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,N/A,N/A,Emergency - Basic,21836,16099,1,286,1226,6762,6313,5573,6668,5290,2818,2946,54,,4004,20854,3646,57,1451,237,7687,373,405,82,311,31,18,,7,745,4,35061,436,5,46,173,17239,10006,550,6930,3174,37,37936,2461,34392,1083,4451,4077,,23,274,462,757,1458,1925,1405,2224,,,,1682,3792,643,206,65,2119,21,173,172,320,1487,265,,21,4206,1673,,183,15,,3,1,2246,4622,118,1429,111,2,8528,1231,7016,281,2015,403,31,193,46,9,
2015,106010967,10967,ST. ROSE HOSPITAL,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,27200 CALAROGA AVENUE,HAYWARD,94545,Beds 200-299,,15,20,10,San Leandro West/San Lorenzo West/Hayward West,Urban,N/A,N/A,Emergency - Basic,18395,14681,,4042,3198,6023,5392,4422,4182,2724,1275,1045,773,,4935,6000,13575,43,1818,25,6680,311,755,94,,10,,,194,667,1,30867,18,86,24,,19276,4279,1899,3749,3873,,33076,1958,25505,5613,2371,2092,,24,183,245,436,833,969,822,951,,,,1146,624,1125,140,7,1416,5,,112,198,847,,,,2174,989,2,,,141,,,1856,2066,14,499,28,,4463,655,3289,519,2015,217,17,,49,,
2015,106010987,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,Public - District,General Acute Care Hospital,2000 MOWRY AVENUE,FREMONT,94538,Beds 300-499,,17,20,10,Fremont East/Niles/Union City Central,Urban,N/A,N/A,Emergency - Basic,23418,19589,,5518,3965,6668,6232,5192,5426,3826,2568,2560,1052,,10429,4291,9733,66,7076,360,11052,173,,78,224,38,7,,325,744,4,40892,443,8,,63,18246,9578,1222,9945,3992,24,43007,3146,37778,2083,4173,3628,,67,238,352,564,1041,1409,1689,2338,34,69,,2240,477,966,1094,29,2987,8,104,,328,1542,61,,3,4007,1605,2,100,44,,1,4,1394,4817,62,1351,177,,7801,1263,6255,283,2015,341,23,2,6,,
2015,106013619,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Public - City or County,General Acute Care Hospital,13855 EAST 14TH STREET,SAN LEANDRO,94578,Beds 50-99,,13,18,9,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,Urban,N/A,N/A,Emergency - Basic,17814,13227,4,1401,2247,6986,5560,4559,5281,2796,1094,948,173,,2288,16236,6842,158,613,64,4844,97,683,15,43,6,1,,104,757,,28899,62,6,,372,3141,4960,16738,3428,2778,,31045,845,28182,2018,1445,1293,,18,140,204,289,591,516,431,549,,,,341,1176,124,304,,781,12,85,94,66,330,14,,1,1612,485,,29,21,,,1,941,1435,162,158,42,,2738,206,2344,188,2015,93,12,,,,
2015,106014050,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,Beds 150-199,,15,16,7,Dublin/Pleasanton/Santa Rita/Sunol,Urban,N/A,N/A,Emergency - Basic,13944,12390,,3085,2865,4029,3790,3472,3335,2119,1491,1530,618,,3485,1757,4348,14700,1943,92,9,518,167,65,1,1,,,339,587,9,24621,26,,,,7319,4320,2099,10231,2364,1,26334,573,24302,1459,2057,1693,,42,133,209,324,519,582,764,1097,30,50,,411,111,292,349,12,2570,5,139,32,157,475,5,,,1935,860,25,88,33,1,,,603,2082,231,785,37,12,3750,152,3507,91,2015,167,18,,,,
2015,106014132,14132,KAISER FND HOSP - FREMONT,ALAMEDA,Nonprofit - Corporation,General Acute Care Hospital,39400 PASEO PADRE PARKWAY,FREMONT,94538,Beds 100-149,,17,25,10,Centerville/Fremont West/Irvington/Newark East Central,Urban,N/A,N/A,Emergency - Basic,18276,16238,1,3768,3452,4362,4339,4014,4166,3624,3004,3249,537,,9874,2650,7830,99,826,352,12884,331,358,60,389,52,33,,5,589,3,32331,168,5,1,190,4550,8267,573,19461,1664,,34515,1320,31760,1435,1402,1319,,11,62,122,207,370,500,593,854,,2,,629,160,439,13,1,1476,3,114,27,125,764,10,,9,1181,364,,108,11,1,4,3,84,1779,6,822,30,,2721,113,2529,79,2015,106,16,,,,
