year,oshpd_id2,oshpd_id,county_name,facility_name,license_type_desc,control_type_desc,ed_lic_levl_end,ems_station,rural_hospital_desc,teaching_hospital_desc,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,licensed_bed_size,senate__desc,assembly__desc,mssa_name,mssa_designation,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,CAH,Died,Prison_Jail,Psychiatric_Care,Rehab,Routine,SN_IC_Care,Childrens_or_Cancer,Home_Health_Service,Hospice_Care,Invalid_Blank_Disp,Not_Defined_Elsewhere,Residential_Care,Other_Disp,Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,DX_All_Pregnancies,DX_Birth_Defects,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Perinatal_Disorders,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Births,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Med_Device_Advrs_Incident,ECM_Natural_Envrnmntl_Factors,ECM_NonTrans_Drowning_Subm,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_Undetermined_Intent,ECM_W_Inanimate_Animate_Object,EC_None,ECM_Medical_Misadventures,ED_Visit,All_Other_Languages,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Other_Unk,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Islander,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Eskimo_Aleut,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Hospice_Care,a_Psychiatric_Care,a_Rehab,a_Residential_Care,a_Routine,a_SN_IC_Care,a_CAH,a_Not_Defined_Elsewhere,a_Childrens_or_Cancer,a_Invalid_Blank_Disp,a_Prison_Jail,a_Other_Disp,a_Disaster_Care_Site,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,a_DX_Birth_Defects,a_DX_Blood_Disorders,a_DX_Cancer,a_DX_Circulatory_System,a_DX_Digestive_System,a_DX_Ear_Disorders,a_DX_Endocrine_Diseases,a_DX_Genitourinary_System,a_DX_Infections,a_DX_Injuries_Poisonings,a_DX_Mental_Disorders,a_DX_Musculoskeletal_System,a_DX_Nervous_System,a_DX_Other_Reasons,a_DX_Respiratory_System,a_DX_Skin_Disorders,a_DX_Symptoms,a_DX_All_Pregnancies,a_DX_Births,a_DX_Eye_Disorders,a_DX_Perinatal_Disorders,a_ECM_Abnormal_Reaction_Later_Cx,a_ECM_Accidental_Falls,a_ECM_All_Transport_Types,a_ECM_Assault,a_ECM_Intentional_SelfHarm,a_ECM_Legal_War_Terrorism,a_ECM_Med_Device_Advrs_Incident,a_ECM_Medical_Misadventures,a_ECM_Natural_Envrnmntl_Factors,a_ECM_Other_Factors,a_ECM_Supplementary_Factors,a_ECM_W_Inanimate_Animate_Object,a_EC_None,a_ECM_Undetermined_Intent,a_ECM_NonTrans_Drowning_Subm,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish
2016,106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,Hospital,City or County,Basic,12,N/A,N/A,2070 CLINTON AVE,ALAMEDA,94501,100-149,9,18,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,8505,6606,,623,1104,2740,2721,2124,2130,1798,845,961,65,,1369,2966,1186,16,3669,302,5603,277,340,1,23,169,177,1,13927,196,,,,,,,,,763,3009,5995,3706,1638,,163,2,30,26,281,822,336,240,211,832,300,3460,839,1373,321,541,1,1466,818,3049,,34,1004,643,207,14,18,2,38,1,797,231,40,1004,11078,,15111,650,13886,575,922,926,,4,63,100,134,258,362,327,600,,,,301,252,149,280,34,832,,92,51,89,190,35,11,24,37,782,537,,,,,,,,399,1142,6,255,46,,1,25,43,309,317,3,128,94,308,132,37,27,48,2,239,64,71,,,,,43,113,4,3,2,1,1,1,2,17,89,7,1565,,,1848,204,1573,71
2016,106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Hospital,Non-profit Corporation (incl. Church-related),Basic,25,N/A,N/A,2450 ASHBY AVENUE,BERKELEY,94705,300-499,9,15,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,22667,16737,2,612,2179,8619,6685,5369,5550,4730,2986,2471,205,,3481,13029,5751,74,2188,348,14535,283,484,30,32,40,1403,9,36607,194,12,139,34,29,95,15,,,14246,9149,745,12213,3041,12,1791,12,195,98,997,2040,446,616,420,2501,766,8145,3171,3187,782,840,17,2738,1454,9190,,125,2913,1553,513,62,22,40,145,,1012,688,19,2121,30192,1,39406,1082,36629,1695,3299,2631,,55,446,458,570,857,1239,1027,1269,9,,,604,1907,638,186,32,2551,12,179,143,174,884,136,60,197,13,3200,936,3,5,,,,,,1357,2757,47,1677,92,,2,171,162,774,974,14,260,326,1157,629,84,149,216,1,445,169,212,164,2,12,7,342,417,31,11,4,2,14,2,4,52,360,37,4647,7,,5930,226,5443,261
2016,106010776,010776,ALAMEDA,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,Hospital,Non-profit Corporation (incl. Church-related),Basic,37,N/A,Teaching,747 52ND STREET,OAKLAND,94609,150-199,9,15,OAKLAND WEST CENTRAL,Urban,18429,20598,4,23150,10130,318,74,43,32,14,2,2,5263,3,2685,9776,18011,43,4868,194,3454,206,62,,9,23,,2,38356,1,5,14,4,239,,,110,,31043,14,449,5453,2071,1,37,48,194,45,82,2743,1808,156,686,1145,3499,8039,393,1293,422,700,223,7856,1757,7905,,74,3197,642,152,23,2,2,140,8,1164,467,2,2579,30579,,39031,1515,27142,10374,2711,3269,,1783,106,,,,,,,1112,2979,,463,1069,2415,932,34,1061,6,12,3,7,1,,10,14,,5891,9,,,27,5,1,,,3065,16,1290,1437,172,,79,365,77,38,694,32,290,259,327,1027,29,142,218,31,1618,263,319,,,21,151,121,419,197,34,2,,4,2,7,92,285,130,4678,2,7,5980,222,4446,1312
2016,106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,Hospital,City or County,Basic,57,N/A,Teaching,1411 EAST 31ST STREET,OAKLAND,94602,200-299,9,18,OAKLAND WEST CENTRAL,Urban,28454,33431,2,882,2816,12923,12783,11265,11300,7065,1776,853,224,,5539,25760,20842,221,1962,398,7165,257,602,,150,1484,37,7,58788,171,24,,5,,206,147,9,,39961,6348,1050,2314,11864,350,1248,17,169,218,1586,3867,977,1190,1035,3452,1792,10949,3916,6456,1756,4446,13,4519,3485,10795,1,76,2555,2610,2012,86,91,7,163,1,2211,1349,46,2179,48498,3,61887,4913,43169,13805,3146,4515,1,135,805,973,1223,1698,1485,742,599,2,,,1012,2957,2101,167,43,1346,36,234,264,222,238,82,6,245,199,5191,867,,51,,,55,8,,4444,2089,78,728,323,,4,88,234,1091,1065,20,398,311,669,1677,284,194,270,21,568,310,336,101,2,19,,250,608,577,391,20,8,29,9,20,82,623,111,4931,3,,7662,821,5409,1432
2016,106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,Hospital,Non-profit Corporation (incl. Church-related),Basic,32,N/A,N/A,350 HAWTHORNE AVENUE,OAKLAND,94609,300-499,9,18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,21808,16481,6,260,1239,6817,6285,5422,6654,5366,3083,3122,47,,4101,20476,4009,64,1660,182,7803,421,445,48,83,8,764,26,35653,354,5,238,34,12,188,16,,,17279,10293,666,7139,2918,,891,6,253,119,1303,2086,412,730,387,2503,762,6968,2214,3642,818,773,,3183,1716,9528,1,112,2505,1457,698,24,13,57,87,,1038,617,18,1521,30147,1,38295,2545,34514,1236,4612,4175,,21,326,505,787,1419,1871,1578,2280,,,,1596,3932,701,250,60,2233,15,189,200,326,1501,194,15,238,25,4293,1792,3,11,,,,,,2307,4769,158,1452,101,,3,239,241,1851,1117,19,446,450,1621,673,105,189,374,12,841,161,425,13,,7,,497,469,48,22,1,,20,3,20,48,439,30,7177,13,,8787,1168,7327,292
2016,106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,Hospital,Non-profit Corporation (incl. Church-related),Basic,17,N/A,N/A,27200 CALAROGA AVENUE,HAYWARD,94545,200-299,10,20,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,17543,14289,1,3599,2927,5736,5359,4184,4120,2840,1451,998,619,,4812,5352,13309,39,2075,35,6211,464,830,1,92,194,537,,29280,117,80,1,3,,69,128,37,,18805,4217,2065,3763,2983,,1031,4,100,39,639,1572,842,639,426,2060,626,6106,1366,2760,474,431,34,4251,1603,6830,,95,1934,1118,346,48,21,,98,1,1475,731,17,1813,24126,10,31833,1870,24135,5828,2012,2044,,23,166,264,359,767,947,716,813,1,,,1033,588,1002,177,4,1248,4,191,118,188,785,26,18,9,68,1772,879,,,,,2,,,1702,1833,14,460,47,,,63,65,890,742,5,296,207,403,223,45,51,82,4,604,113,229,30,1,3,,195,143,12,2,2,,6,3,4,86,372,7,3222,2,,4056,569,3004,483
2016,106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,Hospital,District,Basic,23,N/A,N/A,2000 MOWRY AVENUE,FREMONT,94538,300-499,10,20,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,22704,20044,,4837,3856,6817,6150,4991,5754,4064,2679,2699,901,,12002,4382,9479,44,5719,292,10830,172,,1,66,304,703,10,40694,388,33,290,39,2,43,2,1,,18160,9539,1225,9663,3797,364,947,5,148,95,1200,2814,977,723,458,2333,1345,9063,2511,2788,1009,994,43,4071,1727,9497,,138,3209,1684,416,36,27,3,147,,1564,916,5,2440,32161,2,42748,3336,37335,2077,3974,3663,,67,223,338,435,1032,1422,1678,2312,51,79,,2566,390,978,853,25,2814,11,112,,277,1736,115,29,50,5,3755,1554,,,1,,3,,,1375,4558,121,1429,154,,7,79,226,1546,1191,14,405,444,853,651,75,185,207,5,1004,254,417,46,4,7,17,241,500,25,4,9,1,6,1,1,41,392,34,6380,1,1,7637,1157,6204,276
2016,106013619,013619,ALAMEDA,SAN LEANDRO HOSPITAL,Hospital,City or County,Basic,12,N/A,N/A,13855 EAST 14TH STREET,SAN LEANDRO,94578,50-99,9,18,ASHLAND/BROOKFIELD VILLAGE/CASTRO VALLEY SOUTH/ELMHURST/HAYWARD NORTHEAST/SAN LEANDRO NORTH CENTRAL/,Urban,17901,13441,1,1227,2182,7043,5744,4589,5270,2972,1230,955,129,2,2363,16517,7151,132,604,74,4502,88,930,2,20,82,857,10,28802,67,14,42,4,,424,1,,,2853,5339,16994,3093,3064,,600,2,108,23,495,1760,553,439,404,1893,649,4876,1652,3758,468,1631,1,3114,1391,7526,,43,1381,1354,669,28,25,1,93,1,1459,401,10,1575,24299,4,31343,938,28195,2210,1439,1381,,14,186,227,311,621,574,379,508,,,,346,1194,149,377,1,741,12,96,101,78,311,33,22,30,2,1616,525,,5,1,,,,,1155,1300,153,154,58,,1,68,47,482,433,2,230,209,338,230,50,46,41,4,457,123,57,1,,1,,166,99,7,11,2,,5,2,5,41,200,6,2276,,,2820,209,2385,226
2016,106014050,014050,ALAMEDA,VALLEYCARE MEDICAL CENTER,Hospital,Non-profit Corporation (incl. Church-related),Basic,18,N/A,N/A,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,150-199,7,16,DUBLIN/PLEASANTON/SANTA RITA/SUNOL,Urban,14599,13060,,2887,2828,4332,3918,3728,3515,2350,1922,1699,480,,3909,2064,4431,35,1923,110,15187,541,176,,48,834,627,2,25412,7,,,1,,,7,4,,7993,4876,2015,10947,1828,,582,3,131,45,708,1360,673,331,245,1502,671,6597,985,1672,716,1856,41,2243,843,6455,,123,2363,1285,202,48,96,2,120,3,1230,957,2,1738,19490,,27659,598,25584,1477,2139,1912,,52,157,217,327,551,693,834,1151,31,38,,482,160,282,342,10,2774,1,190,41,156,555,96,28,8,1,2008,939,,,,,27,2,,634,2233,256,890,22,16,1,28,131,807,673,5,183,253,566,344,57,101,100,3,552,86,124,23,3,3,8,46,230,25,1,2,1,6,,7,18,326,23,3365,1,,4051,140,3822,89
2016,106014132,014132,ALAMEDA,KAISER FOUNDATION HOSPITAL - FREMONT,Hospital,Non-profit Corporation (incl. Church-related),Basic,16,N/A,N/A,39400 PASEO PADRE PARKWAY,FREMONT,94538,100-149,10,25,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,18081,16201,3,3488,3291,4339,4371,4029,4127,3611,2974,3511,543,1,10116,2586,7873,124,848,428,12310,271,466,2,52,13,627,10,31771,221,7,549,55,,240,1,,,4646,8569,654,18949,1467,,506,2,150,63,1181,1825,585,598,449,1555,805,7627,1349,2079,900,823,28,2691,1085,9984,,187,2453,1119,135,53,4,10,108,2,1848,854,9,2043,25456,4,34285,1503,31298,1484,1415,1372,,16,76,111,212,329,519,655,869,,,,681,167,389,26,3,1508,13,143,22,140,838,93,6,17,,1113,396,2,16,,,1,,,116,1853,9,778,31,,1,41,52,530,433,1,110,169,604,246,25,44,33,4,325,87,63,17,,2,,137,162,6,2,1,,7,,18,160,197,12,2085,,,2787,149,2557,81
