year,oshpd_id2,oshpd_id,county_name,facility_name,control_type_desc,ed_lic_levl_end,ems_station,rural_hospital_desc,teaching_hospital_desc,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,LICENSE_CATEGORY_DESC,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Islander,Black,Hispanic,Native_American_Eskimo_Aleut,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,CAH,Died,Other_Disp,Prison_Jail,Psychiatric_Care,Residential_Care,Routine,SN_IC_Care,Childrens_or_Cancer,Home_Health_Service,Hospice_Care,Not_Defined_Elsewhere,Rehab,Invalid_Blank_Disp,Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_Payer,DX_All_Pregnancies,DX_Birth_Defects,DX_Births,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Perinatal_Disorders,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Med_Device_Advrs_Incident,ECM_Natural_Envrnmntl_Factors,ECM_NonTrans_Drowning_Subm,ECM_None,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_Undetermined_Intent,ECM_W_Inanimate_Animate_Object,ECM_Medical_Misadventures,ED_Visit,All_Other_Languages,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Islander,a_Black,a_Hispanic,a_Native_American_Eskimo_Aleut,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Hospice_Care,a_Prison_Jail,a_Psychiatric_Care,a_Rehab,a_Residential_Care,a_Routine,a_SN_IC_Care,a_CAH,a_Childrens_or_Cancer,a_Not_Defined_Elsewhere,a_Invalid_Blank_Disp,a_Other_Disp,a_Disaster_Care_Site,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_Payer,a_DX_All_Pregnancies,a_DX_Blood_Disorders,a_DX_Cancer,a_DX_Circulatory_System,a_DX_Digestive_System,a_DX_Ear_Disorders,a_DX_Endocrine_Diseases,a_DX_Eye_Disorders,a_DX_Genitourinary_System,a_DX_Infections,a_DX_Injuries_Poisonings,a_DX_Mental_Disorders,a_DX_Musculoskeletal_System,a_DX_Nervous_System,a_DX_Respiratory_System,a_DX_Skin_Disorders,a_DX_Symptoms,a_DX_Birth_Defects,a_DX_Births,a_DX_Other_Reasons,a_DX_Perinatal_Disorders,a_ECM_Abnormal_Reaction_Later_Cx,a_ECM_Accidental_Falls,a_ECM_All_Transport_Types,a_ECM_Assault,a_ECM_Med_Device_Adverse_Inciden,a_ECM_Natural_Environmental_Fact,a_ECM_None,a_ECM_Other_Factors,a_ECM_Supplementary_Factors,a_ECM_Undetermined_Intent,a_ECM_W_Inanimate_Animate_Object,a_ECM_Intentional_SelfHarm,a_ECM_Medical_Misadventures,a_ECM_NonTrans_Drowning_Subm,a_ECM_Legal_War_Terrorism,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish
2017,106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,City or County,Basic,12,,,2070 CLINTON AVE,ALAMEDA,94501,100-149,District 9,District 18,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,General Acute Care Hospital,8397,6566,,659,1035,2701,2648,2118,2067,1700,972,1005,58,,1277,3065,1339,13,3589,340,5340,312,279,2,25,1,165,222,2,13774,181,,,,,,,,867,3162,6258,3249,1427,,188,1,1,37,22,300,826,355,249,213,794,279,3254,818,1358,326,476,1541,697,3228,,19,1017,558,207,15,19,5,44,1,11377,617,148,31,905,,14963,622,13868,473,961,988,,5,64,100,150,249,382,373,626,,,,289,318,137,5,297,31,872,105,57,89,164,26,1,12,25,36,882,552,,,,,,,442,1239,30,197,40,1,1,30,43,329,319,3,112,1,105,305,129,47,32,52,299,83,59,,,,,57,123,12,6,1,5,1672,10,55,1,7,,,,,1949,208,1666,75
2017,106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,Non-profit Corporation (incl. Church-related),Basic,25,,,2450 ASHBY AVENUE,BERKELEY,94705,300-499,District 9,District 15,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,General Acute Care Hospital,21506,16467,1,624,2205,8296,6581,4861,5235,4493,3037,2439,203,,3437,11868,5784,59,2341,386,14099,318,427,15,19,,90,1500,28,35173,210,9,121,22,28,14,,,13749,8893,644,11707,2981,,1706,10,1,167,112,918,1969,424,632,399,2376,641,7845,2803,2807,745,865,2821,1484,9223,26,166,2818,1518,536,69,30,44,134,,28911,1290,349,14,2093,2,37974,1068,35219,1687,2989,2698,,58,426,478,567,822,1101,983,1243,9,,,584,1726,606,6,214,50,2501,180,160,156,932,121,2,60,172,19,2955,918,4,2,6,,,,1412,2572,39,1556,108,,144,148,175,791,875,13,237,7,269,1203,619,108,108,212,421,151,187,3,5,7,4,237,435,34,15,21,17,4507,43,308,7,59,2,2,,,5687,251,5208,228
2017,106010776,010776,ALAMEDA,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,Non-profit Corporation (incl. Church-related),Basic,37,,Teaching,747 52ND STREET,OAKLAND,94609,150-199,District 9,District 15,OAKLAND WEST CENTRAL,Urban,General Acute Care Hospital,18113,20088,,22202,10042,425,90,51,29,12,6,,5342,2,2992,9315,17786,28,4477,182,3421,294,161,,7,,22,,,37350,3,4,15,2,,4,339,,29902,30,410,5768,2091,,41,37,,254,46,92,2873,1977,143,680,1062,3407,7946,383,1137,470,710,8182,1820,6721,220,50,3224,608,164,30,1,,157,6,29965,1436,221,2,2337,,38201,1704,26805,9692,2632,3278,,1827,94,,,,,,,1117,2872,,501,1129,2435,9,739,36,1061,43,19,21,5,1,2,22,26,2,5767,,,1,,1,,,2970,13,1375,1393,159,,,302,72,41,734,21,314,30,252,342,1045,33,123,215,1566,242,322,68,,31,157,108,374,253,38,6,4,4671,114,196,1,130,2,3,10,,5910,244,4407,1259
2017,106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,City or County,Basic,57,,Teaching,1411 EAST 31ST STREET,OAKLAND,94602,200-299,District 9,District 18,OAKLAND WEST CENTRAL,Urban,General Acute Care Hospital,27099,31229,1,876,2737,11873,11772,10513,10525,6746,2038,1007,242,,5314,23940,19720,245,2295,264,6551,999,1250,,137,5,1341,143,249,53793,188,43,21,3,102,55,,,38438,6763,1555,2679,8894,,1319,15,1,294,232,1830,3605,943,1477,1005,3201,1798,10114,4275,5911,1889,3145,4378,3046,9832,19,108,2968,2748,2105,98,104,7,180,1,44477,2286,947,39,2257,4,58329,4613,40725,12991,3001,4305,,141,695,998,1053,1617,1480,686,599,37,,,912,2782,2111,52,193,18,1238,370,253,211,219,91,48,41,200,120,4753,794,4,1,190,,11,,3768,2068,78,1081,311,,118,66,269,1105,975,8,386,21,307,747,1565,244,199,218,539,249,227,3,35,23,2,199,612,528,303,88,22,4541,104,730,9,135,26,1,1,7,7306,700,5189,1417
2017,106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,Non-profit Corporation (incl. Church-related),Basic,32,,,350 HAWTHORNE AVENUE,OAKLAND,94609,300-499,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,General Acute Care Hospital,21348,16558,,292,1083,6195,6110,5335,6471,5559,3418,3401,42,,4283,19836,3936,90,1713,188,7860,565,399,33,82,,13,817,48,35201,503,10,165,16,22,32,,,16893,10761,658,6808,2786,,747,7,2,240,137,1247,2170,363,849,413,2307,746,6925,1992,3355,855,818,3348,1689,9696,,184,2668,1368,689,27,14,39,131,,29658,1301,318,10,1499,,37906,2794,33870,1242,4582,4114,,18,307,533,758,1345,1899,1556,2280,,,,1600,3840,750,15,248,44,2199,175,234,344,1632,214,,8,264,44,4016,1760,,,5,,,,2264,4731,148,1402,151,,14,302,252,1849,1096,20,410,9,450,1842,642,93,128,323,779,132,340,4,,11,,428,490,35,13,23,15,7184,66,401,3,36,1,,1,,8696,1220,7148,328
2017,106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,Non-profit Corporation (incl. Church-related),Basic,17,,,27200 CALAROGA AVENUE,HAYWARD,94545,200-299,District 10,District 20,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,General Acute Care Hospital,16737,13578,,3329,2962,5540,4895,3846,3827,2809,1434,1101,572,,4719,4863,13161,69,1873,22,5608,415,686,,101,,158,406,151,28070,114,70,,,144,,,,17817,4188,1969,3712,2629,,989,1,,70,53,694,1620,857,631,443,2040,569,5717,1431,2556,477,427,4067,1429,6221,23,116,1992,1092,331,43,21,1,100,2,22474,1407,856,9,1871,,30315,1833,22601,5881,1925,1813,,22,150,221,300,701,822,681,840,1,,,952,538,946,11,169,4,1118,162,79,188,607,28,2,15,10,88,1778,781,,,,,,,1571,1699,7,435,26,,23,57,78,832,627,8,256,,198,419,205,41,55,68,612,93,161,,1,4,,161,147,6,1,12,4,2946,74,368,1,15,2,,,1,3738,546,2699,493
2017,106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,District,Basic,23,,,2000 MOWRY AVENUE,FREMONT,94538,300-499,District 10,District 20,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,General Acute Care Hospital,22537,20004,,4848,3835,6507,6363,4823,5682,4053,2764,2830,835,1,12099,4432,9364,55,5669,344,10578,134,,6,68,4,344,725,6,40581,408,30,163,31,29,10,2,,17983,9412,1281,9802,3738,325,958,14,,204,91,1152,2504,949,717,465,2319,1301,8734,2554,2668,1033,905,4410,1654,9865,44,104,3006,1571,432,73,59,2,144,,32294,1488,1000,2,2365,1,42541,2915,37664,1962,4785,4407,,73,214,349,524,1019,1506,1791,2713,924,79,,3385,482,1182,17,1006,63,3057,129,,364,1779,105,5,27,57,4,5055,1660,1,4,2,,,,1744,5024,118,2136,170,,63,94,201,1831,1291,18,476,2,525,802,584,84,182,229,1182,295,410,6,882,16,19,269,521,22,5,4,10,8099,37,186,,34,3,2,,,9192,1378,7477,337
2017,106013619,013619,ALAMEDA,SAN LEANDRO HOSPITAL,City or County,Basic,12,,,13855 EAST 14TH STREET,SAN LEANDRO,94578,50-99,District 9,District 18,ASHLAND/BROOKFIELD VILLAGE/CASTRO VALLEY SOUTH/ELMHURST/HAYWARD NORTHEAST/SAN LEANDRO NORTH CENTRAL/,Urban,General Acute Care Hospital,16904,13733,2,1123,2210,6331,5546,4541,5263,3140,1381,989,115,,2384,16122,6992,132,585,47,4377,263,1067,,16,,128,898,,27981,89,27,68,3,98,1,,,2801,5141,16403,3254,3040,,466,3,1,89,30,547,1691,505,518,359,1882,747,4960,1642,3367,477,1942,3118,1352,6942,1,40,1319,1266,642,23,30,,105,,23943,1448,323,5,1494,1,30639,781,27771,2087,1361,1426,,15,157,213,300,572,581,448,501,,,,341,1226,62,10,429,3,716,125,105,51,307,25,1,19,48,3,1568,533,,2,,,,,1108,1375,111,145,48,,2,35,29,448,387,2,221,1,181,428,246,52,39,51,453,178,32,,,2,,193,115,9,13,2,6,2189,39,206,,13,2,,,,2787,184,2392,211
2017,106014050,014050,ALAMEDA,STANFORD HEALTH CARE - VALLEYCARE,Non-profit Corporation (incl. Church-related),Basic,18,,,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,150-199,District 7,District 16,DUBLIN/PLEASANTON/SANTA RITA/SUNOL,Urban,General Acute Care Hospital,15070,13393,2,2841,2853,4209,4207,3853,3714,2293,2177,1816,502,,4420,2283,4631,32,2236,165,14698,564,185,,58,,753,649,3,26231,10,,,,,12,,,7861,5145,1836,11778,1845,,651,1,,123,58,734,1573,653,424,261,1583,650,6609,1045,1557,734,1522,2580,872,6806,29,130,2258,1286,231,54,88,4,124,7,20435,1220,852,6,1767,3,28465,609,26450,1406,1943,1856,,59,114,208,297,522,602,826,1090,47,34,,517,147,320,4,310,18,2483,156,43,150,574,86,18,24,6,2,1859,869,,,,,12,,626,2098,200,838,29,8,19,37,102,738,615,1,174,2,214,580,329,56,96,74,546,106,74,2,23,1,10,44,204,15,10,3,5,3207,17,272,,17,4,,,1,3799,147,3554,98
2017,106014132,014132,ALAMEDA,KAISER FOUNDATION HOSPITAL - FREMONT,Non-profit Corporation (incl. Church-related),Basic,16,,,39400 PASEO PADRE PARKWAY,FREMONT,94538,100-149,District 10,District 25,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,General Acute Care Hospital,18957,17036,1,3734,3181,4687,4582,4160,4377,3745,3257,3676,595,,10944,2907,8269,109,933,594,12238,263,559,1,52,,15,618,4,33246,290,10,579,61,287,9,,,4901,8824,633,19967,1669,,513,4,,141,43,1213,1953,610,606,445,1618,903,7844,1297,2190,815,920,2964,1042,10843,30,176,2539,1085,157,52,4,1,139,4,27018,2184,364,10,2259,2,35994,1644,32689,1661,1427,1302,,11,94,129,157,308,473,661,896,,,,725,142,397,6,29,1,1429,107,17,123,893,117,,14,20,3,1024,391,,,20,,,,136,1817,12,736,28,,12,40,40,468,379,1,112,1,163,780,214,36,38,43,281,65,53,2,,1,,157,205,7,2,15,3,2129,23,170,1,17,,,,,2729,155,2491,83
