year,oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_inv_blank,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Hospice_Care,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Home_Health_Service,disp_Rehab,disp_Residential_Care,disp_Other,disp_Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_inv_Payer,DX_Blood_Forming,DX_Circulatory,DX_Congenital,DX_Digestive,DX_Endocrine,DX_Genitourinary,DX_Infections,DX_Injury_Poisoning,DX_Mental_Illness,DX_Muscoloskeletal,DX_Neoplasms,DX_Nervous_Sense,DX_No_Group_Assigned,DX_Perinatal,DX_Pregnancy,DX_Residual,DX_Respiratory,DX_Skin,DX_Symptoms,ED_Visit,All_Other_Languages,English,Spanish,Unknown_lang,blank_inv_lang,Zip_Blank_Invalid,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_racegrp_aman,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_nhpi,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_racegrp_inv_blank,a_eth_Hispanic,a_eth_NonHispanic,a_eth_Unknown,a_eth_Blank_Invalid,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_disp_CAH,a_disp_Not_Defined_Elsewhere,a_disp_Childrens_or_Cancer,a_disp_Disaster_Care_Site,a_disp_Prison_Jail,a_disp_Other,a_disp_Invalid_Blank,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_inv_Payer,a_DX_Blood_Forming,a_DX_Circulatory,a_DX_Digestive,a_DX_Endocrine,a_DX_Genitourinary,a_DX_Infections,a_DX_Injury_Poisoning,a_DX_Mental_Illness,a_DX_Muscoloskeletal,a_DX_Neoplasms,a_DX_Nervous_Sense,a_DX_No_Group_Assigned,a_DX_Pregnancy,a_DX_Residual,a_DX_Respiratory,a_DX_Skin,a_DX_Symptoms,a_DX_Congenital,a_DX_Perinatal,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish,a_Unknown_lang,a_blank_inv_lang,a_Zip_CA_Resident,a_Zip_Foreign,a_Zip_Homeless,a_Zip_Out_of_State,a_Zip_Unknown,a_Zip_Blank_Invalid,ED_STATIONS_ON_1231,LATITUDE,LONGITUDE,Target,Label,SPA
2019,106010735,10735,ALAMEDA HOSPITAL,General Acute Care Hospital,Alameda,2070 Clinton Ave,Alameda,94501,City or County,,Emergency - Basic,,,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,7529,6273,2,484,971,2667,2383,1942,1867,1582,1016,848,43,1,16,1227,2892,1,345,18,4619,447,4239,2120,11318,366,,273,432,21,1,1,153,111,146,12448,218,,,,,,,,5969,2892,382,3197,1364,,44,922,1,848,245,951,265,2773,840,1408,26,1127,3,2,139,144,1646,633,1787,13804,505,12726,549,15,9,15,13179,12,307,251,40,1118,989,,7,79,158,158,275,408,419,603,,,,2,352,369,50,1,456,39,838,,237,1840,30,,101,88,55,279,33,7,42,98,864,540,,,,,,,,509,1280,19,242,57,,26,413,271,105,124,394,167,91,39,27,62,1,4,4,274,81,24,,,2107,199,1835,71,2,,1988,2,89,27,1,,12,37.76266,-122.253991,0.059835236,TRUE,
2019,106010739,10739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,General Acute Care Hospital,Alameda,2450 Ashby Ave,Berkeley,94705,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,19379,14770,3,496,1875,7139,5922,4483,4655,4148,2951,2318,165,,74,2772,10430,,738,370,6446,328,12994,5471,28145,536,,320,560,8,7,,1,116,1512,31338,182,1,15,51,1,40,,,11963,8091,629,10673,2796,,150,2894,7,2044,631,2311,662,6631,3447,2433,105,2769,16,33,1576,435,3070,1310,3628,34152,837,31580,1591,95,49,,31265,73,1629,696,489,2718,2462,,64,371,477,481,677,984,977,1141,8,,,10,486,1538,93,78,714,35,2226,,612,4497,71,,174,167,147,795,105,61,115,33,2715,866,1,1,,,,,,1295,2361,43,1364,117,,117,755,744,251,230,1101,533,170,133,160,199,10,197,3,369,130,70,1,7,5180,193,4737,235,6,9,4741,21,346,59,13,,22,37.85645,-122.25743,0.012884424,FALSE,
2019,106010776,10776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,General Acute Care Hospital,Alameda,747 52nd St,Oakland,94609,Non-profit Corporation (incl. Church-related),Level I - Pediatric,Emergency - Basic,,Teaching,200-299,District 9,District 15,Oakland West Central,Urban,17385,19268,3,20931,10160,527,68,47,25,8,,1,4886,3,45,2509,8339,10,926,289,20226,309,4003,17763,18619,264,10,254,153,8,1,225,,20,66,35913,,,2,8,1,4,1,,28036,145,414,5616,2444,1,362,400,48,3659,167,1177,2864,7232,668,1214,63,3478,3,405,40,162,9001,1266,4447,36656,1810,24730,9905,23,188,,36414,5,13,211,13,2688,3326,,1921,100,,,,,,,1114,2879,,7,428,1069,221,63,2925,51,1250,,2520,3450,44,,42,10,17,13,5,22,25,2,5869,1,,,1,6,1,,,3097,10,1214,1489,204,,343,54,869,317,256,177,1060,97,147,75,381,2,,10,1552,211,218,62,183,6014,249,4400,1335,,30,5945,2,15,52,,,37,37.83722,-122.26747,0,FALSE,
2019,106010846,10846,HIGHLAND HOSPITAL,General Acute Care Hospital,Alameda,1411 E 31st St,Oakland,94602,City or County,Level I,Emergency - Basic,,,200-299,District 9,District 18,Oakland West Central,Urban,28358,33217,12,932,2927,12030,12505,10539,10894,7676,2695,1172,214,3,248,4388,25270,2,1367,378,22147,244,7543,20729,40371,483,4,886,3564,146,12,1,513,1034,590,53991,270,,49,28,158,344,1,,36605,8187,5276,3386,8121,12,216,3802,9,3913,1439,3760,1822,11341,5417,5645,182,5384,20,25,1280,2442,5824,2847,6219,61587,3168,44558,13287,164,410,1,55111,48,5719,354,354,3438,5024,5,114,755,1076,1254,1675,1814,1014,753,12,,,54,870,3234,270,68,2336,63,1572,,2230,6135,102,,384,459,285,450,103,48,289,246,4971,1109,,52,5,,61,5,,3736,2758,66,1355,552,,125,1279,998,465,305,774,1960,634,178,286,313,11,111,11,614,248,140,3,12,8467,638,6275,1466,36,52,7282,1,1059,56,69,,54,37.79925,-122.23138,0.099974216,TRUE,
2019,106010937,10937,ALTA BATES SUMMIT MEDICAL CENTER,General Acute Care Hospital,Alameda,350 Hawthorne Ave,Oakland,94609,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,19526,15368,,212,866,5270,5670,4608,5625,5359,3783,3478,23,,54,3853,17557,,495,422,4520,193,7800,3741,30814,339,,559,724,82,9,,10,19,809,32035,451,5,3,94,2,92,,,14563,10714,563,6479,2575,,183,3578,10,2053,828,2394,741,6332,2531,3042,101,3182,8,,679,456,3684,1415,3677,34894,2655,30939,1088,85,127,,31784,71,1960,436,643,4400,4338,,14,259,480,652,1259,1909,1924,2241,,,,11,1494,3742,121,171,848,34,2317,,772,7902,64,,198,230,309,1799,251,4,241,81,3858,1765,,1,,,1,,,2102,5017,152,1341,126,,256,2292,971,489,363,1810,718,161,151,255,296,9,11,9,715,103,124,5,,8738,1168,7190,329,4,47,8180,7,450,69,32,,30,37.82106,-122.26257,0.007240456,FALSE,
2019,106010967,10967,ST. ROSE HOSPITAL,General Acute Care Hospital,Alameda,27200 Calaroga Ave,Hayward,94545,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,15706,13763,2,2688,2998,4910,5081,3906,3853,2941,1596,1038,460,,70,3426,4688,,204,1255,14336,42,5450,13212,16129,130,,301,642,92,,32,139,236,391,27196,206,,88,,,148,,,16053,4330,2559,3578,2950,1,87,1964,,2082,810,2161,431,5493,1846,2403,55,2481,6,39,888,174,4078,1387,3086,29471,1635,21343,6487,6,,39,28402,19,520,207,284,1735,1845,,29,146,222,273,550,833,715,812,,,,15,743,502,19,195,1025,5,1076,,948,2625,7,,208,105,155,589,64,14,10,56,1670,705,,2,1,,1,,,1425,1641,6,428,80,,48,1005,624,203,193,453,158,91,47,55,68,4,28,5,459,88,51,,,3580,510,2556,512,,2,3423,1,127,20,9,,17,37.63291,-122.08962,0.036287171,TRUE,
2019,106010987,10987,WASHINGTON HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,2000 Mowry Ave,Fremont,94538,District,,Emergency - Basic,,,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,22770,20801,2,4701,3839,6226,6475,4944,5507,4545,3212,3240,884,,109,12707,4572,30,661,408,14165,270,10651,9582,33584,295,112,136,77,60,29,4,42,354,659,41572,391,5,73,104,10,1,56,,17357,10253,1075,10676,3843,369,180,3558,13,3063,959,2993,1262,8596,2859,2966,115,3845,13,102,906,414,5215,1256,5258,43573,2651,38584,1995,161,182,2,41039,192,1738,509,93,4432,4186,,61,184,365,579,1100,1611,1796,2774,64,84,,18,2948,487,129,120,1975,45,2893,3,1213,7353,49,3,138,71,363,1611,152,16,73,2,4659,1526,,,4,,1,,2,1722,5093,141,1494,168,,87,2088,1270,550,579,698,783,146,161,248,220,4,54,21,1213,350,110,4,32,8618,1297,6849,377,15,80,8310,60,190,55,3,,23,37.55847,-121.98006,0.063110599,TRUE,
2019,106013619,13619,SAN LEANDRO HOSPITAL,General Acute Care Hospital,Alameda,13855 E 14th St,San Leandro,94578,City or County,,Emergency - Basic,,,50-99,District 9,District 18,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,Urban,8551,7128,7,540,909,3136,2890,2398,2722,1856,725,462,48,,70,1004,8168,,,209,3716,25,2494,3668,11993,25,,161,1257,6,4,,8,54,443,13693,19,,27,14,,,,,9134,2583,829,1496,1644,,44,958,,917,266,1194,396,2519,1274,1811,24,1398,,,134,205,1976,752,1818,15686,391,14005,1252,14,24,6,14420,1,851,148,260,715,780,1,4,57,114,146,282,371,259,263,,,,4,166,651,5,25,255,3,387,,41,1452,3,,58,83,33,184,17,12,20,2,768,319,,,,,,,,593,683,80,109,31,,28,269,216,99,113,201,141,76,24,17,27,,1,3,196,74,11,,,1496,97,1276,118,,5,1372,1,111,10,2,,12,37.71364,-122.14067,0.060046311,TRUE,
2019,106014050,14050,STANFORD HEALTH CARE - VALLEYCARE,General Acute Care Hospital,Alameda,5555 W Las Positas Blvd,Pleasanton,94588,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,14644,13238,1,2558,2566,3783,4256,3510,3674,2661,2236,2109,530,,77,4423,2266,,564,90,6238,128,14097,4882,22782,219,,631,,53,9,,67,895,610,25346,169,,9,90,4,,,,4311,1363,8583,10850,2776,,133,2589,3,1917,550,1882,543,6572,1654,1579,74,2199,8,49,648,259,2874,664,3686,27883,715,25944,1215,9,,16,26314,43,928,580,2,2023,2036,,39,133,239,311,579,638,871,1195,23,31,,6,566,180,91,20,520,21,2655,,423,3585,51,,202,,164,715,94,11,29,2,1819,984,,,2,,23,14,,589,2285,251,822,112,,28,811,547,218,227,804,399,118,63,121,87,3,23,9,460,96,31,3,11,4059,224,3697,135,,3,3891,9,103,56,,,18,37.69206,-121.88095,0.037713996,TRUE,
2019,106014132,14132,KAISER FOUNDATION HOSPITAL - FREMONT,General Acute Care Hospital,Alameda,39400 Paseo Padre Pkwy,Fremont,94538,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,20026,18219,4,3723,3220,4886,5306,4421,4708,4033,3666,3717,569,,157,11789,3289,,501,587,8570,871,12485,8675,28667,907,,339,549,74,80,4,213,7,509,35505,296,,5,651,8,9,,,4790,9212,660,21689,1897,1,188,4027,4,2471,789,2288,925,7534,1742,2561,80,3791,10,74,586,541,4402,1060,5176,38249,1929,34676,1613,5,26,7,37575,3,538,122,4,1517,1567,,14,71,169,201,370,510,693,1056,,,,6,823,193,14,36,489,12,1511,,492,2586,6,,149,24,153,1031,129,8,15,,1143,423,,9,,,,,,129,2082,8,829,36,,24,573,357,139,140,955,280,52,35,53,51,1,9,14,296,74,29,2,,3084,210,2759,114,,1,3029,,45,10,,,16,37.55055,-121.97483,0.032419212,FALSE,
