Zip,SPA
93550,1
93551,1
93552,1
91204,2
91206,2
91208,2
91303,2
91304,2
91307,2
91324,2
91325,2
91330,2
91331,2
91335,2
91342,2
91343,2
91344,2
91345,2
91352,2
91356,2
91367,2
91401,2
91402,2
91403,2
91405,2
91406,2
91411,2
91423,2
91436,2
91504,2
91505,2
91601,2
91602,2
91604,2
91605,2
91606,2
91607,2
91007,3
91101,3
91104,3
91105,3
91106,3
91107,3
91108,3
91125,3
91126,3
91706,3
91709,3
91710,3
91722,3
91723,3
91724,3
91731,3
91732,3
91733,3
91740,3
91740,3
91741,3
91744,3
91745,3
91746,3
91766,3
91767,3
91768,3
91770,3
91773,3
91775,3
91776,3
91780,3
91789,3
91790,3
91791,3
91792,3
91801,3
90004,4
90005,4
90006,4
90010,4
90012,4
90013,4
90014,4
90015,4
90017,4
90019,4
90020,4
90021,4
90023,4
90026,4
90027,4
90028,4
90029,4
90033,4
90037,4
90038,4
90046,4
90048,4
90068,4
90069,4
90071,4
90089,4
90211,4
90212,4
91608,4
90034,5
90035,5
90095,5
90232,5
90292,5
90404,5
90001,6
90002,6
90003,6
90007,6
90008,6
90011,6
90016,6
90018,6
90022,6
90036,6
90039,6
90043,6
90047,6
90057,6
90059,6
90062,6
90220,6
90221,6
90262,6
90723,6
90744,6
90058,7
90201,7
90240,7
90241,7
90242,7
90255,7
90280,7
90601,7
90602,7
90605,7
90630,7
90640,7
90650,7
90670,7
90701,7
90703,7
90706,7
90710,7
90712,7
90713,7
90715,7
90716,7
90903,7
91006,7
91754,7
93534,7
93535,7
93536,7
90247,8
90248,8
90301,8
90501,8
90502,8
90503,8
90505,8
90704,8
90732,8
90745,8
90746,8
90747,8
90755,8
90802,8
90804,8
90805,8
90806,8
90807,8
90808,8
90810,8
90813,8
90814,8
90822,8
90831,8
90840,8
90846,8
